1757_acc_x	1757_acc_y	1757_acc_z	1757_gyro_x	1757_gyro_y	1757_gyro_z	1757_mag_x	1757_mag_y	1757_mag_z	1758_acc_x	1758_acc_y	1758_acc_z	1758_gyro_x	1758_gyro_y	1758_gyro_z	1758_mag_x	1758_mag_y	1758_mag_z	1759_acc_x	1759_acc_y	1759_acc_z	1759_gyro_x	1759_gyro_y	1759_gyro_z	1759_mag_x	1759_mag_y	1759_mag_z
-2.7648	2.964843	8.952726	-1.729876	0.001674	-0.853698	0.480198	-0.275381	-0.69206	4.134387	3.532903	12.145537	57.408217	-108.473274	15.687281	0.069881	-0.179652	-0.914361	9.248207	0.061089	-0.543857	-13.425507	8.378842	-1.448184	-0.524204	0.116462	0.25982
-2.761293	2.735801	9.12232	-3.01565	0.147932	-0.724948	0.443026	0.111299	-0.839892	4.138445	3.307723	12.315266	65.004925	-120.906875	12.733576	0.02494	-0.577894	-0.687547	9.196063	-0.053445	-0.18601	-15.612015	7.90044	-0.307164	-0.558398	-0.14484	-0.299782
-2.884752	2.791395	8.665509	-3.565362	0.108367	-0.171984	0.457518	0.114453	-0.854317	3.792059	3.195661	12.251278	76.923907	-132.978309	14.287986	-0.001979	-0.65679	-0.653277	9.374617	-0.227831	-0.123544	-17.478507	6.745522	-1.670211	-0.558674	-0.178877	-0.267052
-3.230547	2.848603	8.545363	-4.297494	0.470586	0.112021	0.429648	0.118731	-0.867695	4.716671	4.489776	12.554909	85.710748	-146.071769	15.737247	-0.002268	-0.597652	-0.628593	9.309984	0.293999	-0.362047	-18.626592	5.917048	-1.814911	-0.559092	-0.211262	-0.265378
-3.048928	3.080416	9.061347	-5.215716	0.775697	-0.064385	0.415914	0.105334	-0.86393	5.228266	3.70223	14.88614	109.398298	-149.050639	5.738202	-0.027485	-0.625227	-0.669083	9.020136	0.412063	-0.06752	-20.057457	4.414594	-1.955371	-0.572791	-0.195274	-0.266285
-3.160712	2.391683	9.16993	-4.874331	1.077983	0.522236	0.429291	0.097903	-0.836127	4.917035	4.319167	11.143612	141.768347	-155.321306	4.468827	-0.015834	-0.599871	-0.599617	9.203226	0.18059	0.234327	-20.504391	2.920745	-2.588432	-0.544975	-0.194866	-0.266145
-2.99592	2.792202	8.833842	-6.950567	1.921787	1.155281	0.457147	0.110925	-0.840241	5.252171	3.360428	10.583664	140.447531	-150.166015	1.991059	-0.042898	-0.649198	-0.553006	9.20087	-0.226684	0.052876	-20.604865	1.290009	-1.693977	-0.572929	-0.212293	-0.24992
-3.45206	3.252548	8.94057	-6.248259	1.056246	1.875216	0.40065	0.129722	-0.856336	6.139609	3.864397	9.074164	144.502974	-134.937829	-0.567258	-0.056464	-0.651417	-0.524031	8.852546	-0.34079	0.345313	-18.982458	-0.731217	-0.895581	-0.558745	-0.178051	-0.28258
-2.938707	2.849602	8.835196	-5.511293	1.180869	2.028458	0.414756	0.146647	-0.874177	6.232957	3.243645	7.999908	135.979052	-122.790131	2.228627	-0.069591	-0.682133	-0.521748	9.208303	-0.108802	0.472718	-15.324162	-2.188194	-0.718501	-0.628143	-0.180724	-0.251875
-2.823168	2.964643	8.894759	-7.165955	1.578912	1.487673	0.414799	0.094749	-0.821702	5.768029	3.018996	7.763488	142.406306	-112.12601	7.45728	-0.096428	-0.685498	-0.478147	9.448189	-0.80576	0.593967	-11.655379	-2.919852	0.310839	-0.614235	-0.18052	-0.251805
-2.940685	2.50447	8.720042	-6.159179	1.315393	0.744467	0.415914	0.105334	-0.86393	-3.974137	1.062594	4.047076	141.856819	-84.661709	10.226895	-0.084563	-0.7346	-0.432362	9.858716	-0.168116	0.544483	-7.859129	-3.41045	1.735898	-0.544487	-0.163307	-0.252291
-3.215082	3.024305	9.342031	-6.528034	1.911484	-0.4715	0.430034	0.104959	-0.864279	-5.309268	-2.597122	3.166595	67.086363	-21.091057	31.022718	-0.135657	-0.747005	-0.473305	10.156268	-0.284448	0.669304	-4.889855	-3.448676	3.498011	-0.572791	-0.195274	-0.266285
