1757_acc_x	1757_acc_y	1757_acc_z	1757_gyro_x	1757_gyro_y	1757_gyro_z	1757_mag_x	1757_mag_y	1757_mag_z	1758_acc_x	1758_acc_y	1758_acc_z	1758_gyro_x	1758_gyro_y	1758_gyro_z	1758_mag_x	1758_mag_y	1758_mag_z	1759_acc_x	1759_acc_y	1759_acc_z	1759_gyro_x	1759_gyro_y	1759_gyro_z	1759_mag_x	1759_mag_y	1759_mag_z
-0.305097	2.343067	11.782639	-75.3092	-215.841909	32.251364	0.333977	0.360699	-1.201835	1.843283	0.436888	9.660278	0.213771	-0.583049	-4.21878	0.11226	-0.362514	-1.117387	8.664054	2.213724	0.053355	37.211198	3.729404	-4.726708	-0.520522	-0.34151	-0.537134
-0.4776	1.825976	11.720274	-79.35335	-210.262567	24.197292	0.268661	-0.145139	-0.82334	1.800679	0.831926	10.395716	-0.386864	-1.721081	-4.847136	-0.236066	-0.011098	-1.147375	8.380653	1.926491	0.645686	39.045785	5.166439	-4.037287	-0.522786	-0.668997	-0.148562
-1.835703	1.255933	12.48708	-85.109799	-202.601857	21.762483	0.211822	-0.164468	-0.790375	1.564804	0.606798	10.107492	-1.0235	-3.229713	-5.140099	-0.248521	0.03586	-1.16446	8.375981	2.041654	0.406553	41.03233	6.63936	-3.807014	-0.536903	-0.685393	-0.147795
-2.960584	1.031338	13.487201	-88.088489	-191.655605	26.36433	0.184281	-0.104764	-0.870304	2.02796	0.49337	10.230348	0.316818	-4.771987	-5.832566	-0.248596	0.020539	-1.163457	8.549053	2.330888	0.23137	43.461347	8.341866	-1.959642	-0.536344	-0.654661	-0.118413
-4.441321	0.919222	13.855739	-87.35725	-178.86954	35.645855	0.15644	-0.135086	-0.848698	1.911059	0.155507	10.114367	3.502306	-6.821541	-5.079688	-0.222789	0.050259	-1.151666	8.489746	1.982319	0.168879	44.712867	10.113023	-1.239126	-0.522645	-0.670649	-0.117506
-5.571728	0.635979	14.571353	-87.467919	-173.162712	44.96765	0.169789	-0.107918	-0.855879	1.856796	0.324749	10.283219	6.167125	-8.567696	-4.848284	-0.274542	0.080599	-1.15257	9.015234	1.573089	-0.182389	45.068656	12.256279	-1.311767	-0.536348	-0.63599	-0.165834
-7.059934	1.613804	14.603358	-92.765054	-178.347253	55.138725	0.184281	-0.104764	-0.870304	1.859083	-0.238509	10.339384	7.726981	-9.631704	-3.223733	-0.260831	0.053249	-1.193888	8.423972	1.574192	-0.253301	45.055933	14.146874	-0.740053	-0.508319	-0.63806	-0.11911
-9.734894	2.595877	15.407922	-97.515664	-183.764574	64.353493	0.127399	-0.072196	-0.889815	1.629407	0.719636	10.448634	10.176953	-11.143953	-1.664572	-0.23525	0.037007	-1.179086	8.188448	1.342428	-0.258691	45.330055	15.617145	2.124865	-0.494549	-0.654875	-0.102675
-12.057337	3.464748	16.67351	-91.437752	-178.137111	72.367108	0.098415	-0.078503	-0.860965	1.908556	0.831426	10.058296	10.285679	-12.193318	-0.410969	-0.248596	0.020539	-1.163457	8.488065	1.284665	-0.013809	45.123387	16.59587	7.989252	-0.536206	-0.637642	-0.134778
-14.937549	4.554591	15.769624	-76.800133	-166.402645	79.657878	0.05681	-0.087622	-0.870577	1.683238	0.775716	10.279971	7.867338	-12.755904	1.215381	-0.288259	0.04774	-1.121587	8.837045	0.643536	-0.369367	45.231117	17.036405	15.719901	-0.56423	-0.654243	-0.134082
