1757_acc_x	1757_acc_y	1757_acc_z	1757_gyro_x	1757_gyro_y	1757_gyro_z	1757_mag_x	1757_mag_y	1757_mag_z	1758_acc_x	1758_acc_y	1758_acc_z	1758_gyro_x	1758_gyro_y	1758_gyro_z	1758_mag_x	1758_mag_y	1758_mag_z	1759_acc_x	1759_acc_y	1759_acc_z	1759_gyro_x	1759_gyro_y	1759_gyro_z	1759_mag_x	1759_mag_y	1759_mag_z
16.421237	-5.090856	9.291961	39.727713	47.763522	-154.650717	0.1921	0.270892	-1.082733	0.992345	0.83334	10.265512	16.02491	-2.750971	1.660536	0.025645	-0.138961	-0.644903	7.018589	1.579905	0.319358	-13.68366	3.000586	9.795368	-0.605784	-0.45195	-0.609335
24.861862	-9.343038	10.517996	66.712625	-66.269879	-152.071078	0.379285	-0.165361	-0.347075	0.935342	1.171479	10.321227	16.764258	-2.83819	2.369312	0.025645	-0.138961	-0.644903	8.179124	2.037609	-0.675073	-10.695361	3.143389	14.766101	-0.216966	-0.60684	-0.320334
18.681989	-10.614139	7.607742	41.191857	-110.196078	-128.34098	0.391548	-0.183377	-0.277045	1.160984	1.058197	10.09941	15.776531	-2.731895	2.955312	0.038841	-0.153134	-0.658525	9.182149	2.616321	-0.593986	-6.977518	4.799109	15.661729	-0.21606	-0.542896	-0.308155
16.422917	-9.871332	6.259832	-20.364242	-120.837773	-85.619523	0.364407	-0.154743	-0.336066	1.384316	0.88849	9.764265	13.892998	-2.665218	3.170257	0.026461	-0.090856	-0.676614	10.017469	2.965112	-0.037934	-0.685985	4.069997	11.424287	-0.202782	-0.572598	-0.352994
16.470869	-6.873515	8.830769	-50.74571	-134.355578	-34.211095	0.377384	-0.131104	-0.329171	1.095303	1.508664	9.758742	13.243398	-2.735183	3.230695	0.052043	-0.107098	-0.661812	10.847132	2.905888	0.156945	1.478256	2.258946	3.906163	-0.202294	-0.54104	-0.33914
16.034517	-4.513014	10.02567	-41.895034	-163.880404	18.127247	0.351044	-0.164612	-0.346377	1.218441	1.11442	10.100666	13.088507	-2.768009	3.261072	0.026531	-0.135745	-0.687952	10.153088	2.503943	0.860892	-2.101878	1.690508	-1.518402	-0.216064	-0.524225	-0.355576
14.987478	-3.309374	9.214751	-33.046267	-205.072862	65.538899	0.378499	-0.120519	-0.371399	0.813497	0.889757	9.978735	13.397316	-2.764693	3.353839	-1.1e-05	-0.138039	-0.658701	9.494567	2.735754	0.370521	-1.905536	1.417855	-4.66571	-0.229972	-0.524429	-0.355646
13.441028	-2.504073	9.188066	-34.325933	-243.275733	105.046366	0.335766	-0.122924	-0.356275	0.581164	1.340785	9.917639	10.743666	-2.553079	3.353808	0.025645	-0.138961	-0.644903	8.725291	2.678939	0.236154	0.321084	1.351105	-3.359294	-0.21641	-0.557436	-0.338374
11.614739	-1.352469	9.498379	-39.740205	-270.886995	136.362958	0.378113	-0.106748	-0.374814	1.438386	1.451592	9.652669	9.138756	-2.422349	3.692928	0.000504	-0.151216	-0.686397	8.314629	2.099371	0.285886	1.288154	1.115827	-0.977811	-0.216828	-0.589821	-0.336699
9.388947	-0.430099	9.856785	-46.638356	-290.66462	159.869824	0.352144	-0.136727	-0.406096	0.749348	1.17128	9.694565	7.966963	-2.254258	3.847798	0.051748	-0.10817	-0.647462	8.842628	2.504194	0.177707	2.220495	1.601969	-0.34169	-0.2719	-0.559905	-0.307599
7.642264	0.611406	11.304791	-48.577107	-305.825184	174.366036	0.336909	-0.146938	-0.363519	1.152761	1.564887	9.759999	7.004128	-2.665461	3.904591	0.02594	-0.137889	-0.659253	8.836586	2.735262	-0.120839	3.855745	2.661456	-1.666862	-0.230106	-0.560119	-0.29186
5.435236	1.767643	12.630665	-52.478999	-316.260298	181.100979	0.309039	-0.14266	-0.376897	1.267222	1.282971	9.70554	6.821421	-2.424905	4.276776	6.4e-05	-0.122719	-0.659705	9.009212	2.269012	-0.41905	4.405663	3.852984	-4.302884	-0.24395	-0.523807	-0.371244
