1546_acc_x	1546_acc_y	1546_acc_z	1546_gyro_x	1546_gyro_y	1546_gyro_z	1546_mag_x	1546_mag_y	1546_mag_z	1548_acc_x	1548_acc_y	1548_acc_z	1548_gyro_x	1548_gyro_y	1548_gyro_z	1548_mag_x	1548_mag_y	1548_mag_z	1549_acc_x	1549_acc_y	1549_acc_z	1549_gyro_x	1549_gyro_y	1549_gyro_z	1549_mag_x	1549_mag_y	1549_mag_z
-1.97	-0.6599	9.3483	-0.0031	-0.5246	-0.2433	0.7768	-0.7407	-1.3356	2.606	-0.3646	9.4982	-0.273	0.5027	-0.0903	0.5165	-0.3008	-1.755	9.9496	-1.752	-0.8514	-0.9429	0.1493	0.0872	-0.1081	-0.3362	-0.072
-1.7297	-0.4864	9.7559	-0.0028	-0.4644	-0.2093	0.3069	0.716	-0.8732	2.4332	-0.3643	9.5531	-0.1506	0.3101	0.0209	0.5348	-0.2537	-1.7764	9.8365	-1.6931	-0.6257	-0.6975	0.1403	0.3	-0.1321	-0.2942	-0.3422
-2.3834	-0.8905	8.9946	0.1818	-0.3433	-0.2016	0.3269	0.762	-0.8073	2.78	-0.4225	9.5012	-0.1488	0.3993	0.0887	0.5364	-0.2312	-1.7126	9.7088	-1.636	-1.1405	-0.6086	-0.1325	0.1313	-0.1321	-0.2822	-0.3422
-1.965	-0.2556	9.6368	0.0923	-0.1528	-0.2842	0.3617	0.7403	-0.8724	2.26	-0.0753	9.6083	-0.1184	0.3357	0.1155	0.5521	-0.3	-1.7329	9.713	-1.4026	-0.912	-0.856	-0.335	-0.2154	-0.1201	-0.2942	-0.3602
-2.3216	0.1478	9.2858	0.122	-0.0427	-0.0015	0.3426	0.7412	-0.9173	2.3175	-0.5373	9.5508	-0.0872	0.3337	0.1463	0.4991	-0.2779	-1.7769	9.4802	-1.4603	-0.8027	-1.104	-0.3787	-0.7076	-0.1141	-0.2822	-0.3482
-1.9102	-0.3138	9.4653	0.0605	-0.0728	-0.0035	0.3072	0.6916	-0.8505	2.3789	0.0403	9.7846	-0.1188	0.2727	0.1425	0.4838	-0.2565	-1.6708	9.7775	-1.5184	-0.6264	-1.1022	0.0213	-0.6869	-0.1261	-0.2822	-0.3422
-1.6177	-0.6601	9.5277	0.2759	-0.0669	-0.1862	0.3448	0.7865	-0.8296	2.5572	-0.1329	10.0196	-0.2081	0.5187	0.1899	0.4993	-0.3016	-1.734	9.8895	-1.5774	-0.9091	-0.4884	0.3736	-0.3046	-0.1261	-0.2882	-0.3482
-1.8582	-0.1416	9.1793	0.0614	-0.0964	-0.1584	0.3437	0.7639	-0.8734	2.0384	0.099	10.1845	-0.3666	0.2169	0.1089	0.5518	-0.2998	-1.7542	9.5389	-1.3439	-0.8013	0.3927	0.4058	-0.5868	-0.1261	-0.2822	-0.3422
-1.7966	-0.718	9.2941	-0.0905	-0.0005	-0.185	0.3068	0.7641	-0.8966	2.2075	-0.2481	9.8971	-0.303	0.4019	0.0896	0.4984	-0.3245	-1.7551	9.8857	-1.1704	-1.079	0.6053	0.5628	-0.7341	-0.1141	-0.2822	-0.3362
-1.7286	-0.4286	9.8135	-0.1237	-0.1335	0.0228	0.2899	0.8103	-0.8538	2.4328	-0.0178	9.5535	-0.4876	0.5325	0.0058	0.5172	-0.2542	-1.7768	9.893	-1.6934	-0.7385	0.6323	0.3252	-1.0235	-0.1261	-0.2882	-0.3542
